id,provincia,nombre,lat,lon
54049030,Misiones,Dos Hermanas,-26.2930794265319,-53.7569299362558
54049040,Misiones,Integración,-25.7709613454189,-53.8551809061342
54049045,Misiones,Puerto Andresito,-25.5962144012714,-54.0024142431872
54049047,Misiones,Puerto Deseado,-25.7858361976721,-54.0389539830062
54049050,Misiones,San Antonio,-26.0573709006984,-53.7341195284472
54049043,Misiones,Piñalito Norte,-25.9331145756288,-53.9329622012243
54049020,Misiones,Bernardo de Irigoyen,-26.255330197167,-53.6467345738917
54056010,Misiones,El Soberbio,-27.2975110360397,-54.1975456175872
54056020,Misiones,Fracrán,-26.7434318690681,-54.2974537158681
54056030,Misiones,San Vicente,-26.9932973869327,-54.4866189716912
54063020,Misiones,Puerto Libertad,-25.9214681520576,-54.5843176057696
54063030,Misiones,Puerto Iguazú,-25.5972100979327,-54.5772230013845
54063035,Misiones,Villa Cooperativa,-25.9441957737229,-54.5449410673016
54063010,Misiones,Puerto Esperanza,-26.0206123976287,-54.6152011709047
54063040,Misiones,Colonia Wanda,-25.9733663759994,-54.5630397012731
54070010,Misiones,Almafuerte,-27.5081178906152,-55.4035236654766
54070030,Misiones,Caá - Yarí,-27.4848753058028,-55.2989609617802
54070040,Misiones,Cerro Azul,-27.6335752411436,-55.4974159907849
54070050,Misiones,Dos Arroyos,-27.6990752244098,-55.251821768321
54070060,Misiones,Gobernador López,-27.6663565740309,-55.2134709752043
54070070,Misiones,Leandro N. Alem,-27.6037316512863,-55.3236193379634
54070080,Misiones,Olegario V. Andrade,-27.5675867451281,-55.5022799674985
54070090,Misiones,Villa Libertad,-27.5654351670216,-55.3201980962383
54070020,Misiones,Arroyo del Medio,-27.6982566288122,-55.4048641020127
54077010,Misiones,Capioví,-26.9283151085215,-55.0572981188178
54077020,Misiones,El Alcázar,-26.7136471487898,-54.8140478333356
54077030,Misiones,Garuhapé,-26.8211256600335,-54.9577454257086
54077040,Misiones,Mbopicuá,-26.8638507233861,-55.0451619807519
54077060,Misiones,Puerto Rico,-26.8085916829121,-55.0221268413538
54077070,Misiones,Ruiz de Montoya,-26.9704326336471,-55.0522224925892
54077080,Misiones,San Alberto,-26.8082370998635,-54.9894731619228
54077100,Misiones,San Miguel,-26.8536577633327,-54.8887924064813
54077110,Misiones,Villa Akerman,-26.9433284445605,-55.0955190135295
54077120,Misiones,Villa Urrutia,-26.83689267867,-54.7530630524833
54077050,Misiones,Puerto Leoni,-26.9898467972313,-55.1658809660847
54077090,Misiones,San Gotardo,-26.9237317461793,-55.1237542874982
54077015,Misiones,Capioviciño,-26.891713188139,-55.07223995857
54084003,Misiones,Barrio Cuatro Bocas,-26.5502969535792,-54.6805451702411
54084005,Misiones,Barrio Guatambu,-26.6055240102251,-54.6987074403571
54084007,Misiones,Bario Ita,-26.5295241003043,-54.7068049181182
54084020,Misiones,Laharrague,-26.535391180415,-54.6497388775023
54084030,Misiones,Montecarlo,-26.5666537204477,-54.7661267981311
54084040,Misiones,Piray Kilómetro 18,-26.5160511065749,-54.591418605974
54084060,Misiones,Tarumá,-26.7174357097755,-54.7200614261087
54084070,Misiones,Villa Parodi,-26.498904586753,-54.6783012691844
